university_id,university_code,university_name,university_type,university_address,university_website_url,university_distance_from_pozorrubio_value,university_latitude,university_longitude,created_datetime,updated_datetime
01534c9d-598f-4cea-b501-4f1c61b40034,BSU-01,Benguet State University - La Trinidad,state,"Km. 5, La Trinidad, Benguet",bsu.edu.ph,54.00,120.5907145,16.4545358,2026-05-12 15:53:43.717128+00:00,2026-05-12 15:53:43.717128+00:00
9cbabfdd-6ea6-41fd-a8ee-9ec9c0e98738,CLS-01,Central Luzon State University,state,"Science City of Muñoz, Nueva Ecija",clsu.edu.ph,80.00,120.9304297,15.7304144,2026-05-12 15:53:43.717128+00:00,2026-05-12 15:53:43.717128+00:00
c5e71b65-814e-4ac8-943c-aaadfd3ac9c3,DMM-03,DMMMSU – Mid La Union Campus (MLUC),state,"Catbangen, San Fernando City",dmmmsu.edu.ph,68.00,120.3155610,16.6069274,2026-05-12 15:53:43.717128+00:00,2026-05-12 15:53:43.717128+00:00
4d951c08-4088-4bdd-a7c3-aa31fa745662,DMM-01,"DMMMSU – South La Union Campus, Agoo (SLUC)",state,"Consolacion, Agoo, La Union",dmmmsu.edu.ph,36.00,120.3716321,16.3256018,2026-05-12 15:53:43.717128+00:00,2026-05-12 15:53:43.717128+00:00
7bad2fc6-2bfa-4c21-9eb1-bcb5a2d0f09d,DMM-02,"DMMMSU – South La Union Campus, Sto. Tomas (SLUC)",state,"Damortis, Sto. Tomas, La Union",dmmmsu.edu.ph,32.00,120.3847312,16.2677700,2026-05-12 15:53:43.717128+00:00,2026-05-12 15:53:43.717128+00:00
6fbf3f5a-f7d5-4048-8c0b-83ce235a3fff,LNU-01,Lyceum-Northwestern University,private,"Tapuac District, Dagupan City, 2400",lyceum.edu.ph,35.00,120.3303452,16.0357065,2026-05-12 15:53:43.717128+00:00,2026-05-12 15:53:43.717128+00:00
b4168889-9969-4eb3-b9db-98534144216b,PPC-1,Pangasinan Polytechnic College,local,"Narciso Ramos Sports and Civic Center, Alvear Street,Poblacion, Lingayen, Pangasinan 2615",https://nexus.ppc.edu.ph/aboutppc,46.00,120.2274656,16.0333855,2026-05-12 15:53:43.717128+00:00,2026-05-12 15:53:43.717128+00:00
51473747-8964-4c75-999f-ac2b822186d3,PSU-03,Pangasinan State University - Asingan,state,"Dancanza, Asingan, Pangasinan",asingan.psu.edu.ph,25.00,120.6337042,15.9837100,2026-05-12 15:53:43.717128+00:00,2026-05-12 15:53:43.717128+00:00
1755657b-5bf9-4708-b99a-4d9ff1f05aa6,PSU-04,Pangasinan State University - Bayambang,state,"Zone VI, Poblacion, Bayambang",bayambang.psu.edu.ph,48.00,120.4523942,15.8130681,2026-05-12 15:53:43.717128+00:00,2026-05-12 15:53:43.717128+00:00
2b033b53-9b8d-4d7e-ac8f-41d751221197,PSU-01,Pangasinan State University - Lingayen,state,"Alvear St., Lingayen",psu.edu.ph,48.00,120.2296854,16.0323980,2026-05-12 15:53:43.717128+00:00,2026-05-12 15:53:43.717128+00:00
a35bbf62-310c-45b7-9a8e-54cc0c0dd5d3,PSU-02,Pangasinan State University - Urdaneta City,state,"MacArthur Hwy, Urdaneta City",urdaneta.psu.edu.ph,17.00,120.5736121,15.9884221,2026-05-12 15:53:43.717128+00:00,2026-05-12 15:53:43.717128+00:00
cba03b16-1344-4cca-bf25-e1bb0284b313,PUP-01,Polytechnic University of the Philippines - Manila,state,"Anonas Street, Sta. Mesa, Manila, Philippines 1055",https://www.pup.edu.ph/,220.00,121.0108519,14.5979611,2026-05-12 15:53:43.717128+00:00,2026-05-12 15:53:43.717128+00:00
1a44733c-1765-478d-ad45-4e2e84a2510b,SLU-01,Saint Louis University - Baguio,private,"Upper Bonifacio St., Baguio City, Benguet",https://www.slu.edu.ph,53.00,120.5972083,16.4191599,2026-05-12 15:53:43.717128+00:00,2026-05-12 15:53:43.717128+00:00
6af1b663-79ed-44f0-9bdc-2f633209e0c8,TSU-01,Tarlac State University - Tarlac,state,"Romulo Blvd., San Vicente, Tarlac City",tsu.edu.ph,78.00,120.5879712,15.4874863,2026-05-12 15:53:43.717128+00:00,2026-05-12 15:53:43.717128+00:00
fc60b04b-4963-46fe-97f7-47be9a0526ac,UPO-01,Univeristy of the Philippines - Open University,state,remote,upou.edu.ph,0.00,,,2026-05-12 15:53:43.717128+00:00,2026-05-12 15:53:43.717128+00:00
7b04491b-613d-456b-9263-41aa368c702c,UEP-01,University of Eastern Pangasinan,local,"McArthur Highway, Binalonan, Pangasinan",uepbinalonan.edu.ph,10.00,120.5878383,16.0504355,2026-05-12 15:53:43.717128+00:00,2026-05-12 15:53:43.717128+00:00
1aaa2089-438f-4e44-879f-7fe6c4e70685,PHP-01,University of Pangasinan - PHINMA,private,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,36.00,120.3429975,16.0472278,2026-05-12 15:53:43.717128+00:00,2026-05-12 15:53:43.717128+00:00
b377d069-d37a-4ed8-8333-2bc29e91a481,UPB-01,University of the Philippines - Baguio,state,"Governor Pack Road, Baguio City, Benguet",https://www.upb.edu.ph,52.00,120.3429975,16.4053374,2026-05-12 15:53:43.717128+00:00,2026-05-12 15:53:43.717128+00:00
0b882998-1cd6-4b21-acdd-1863bfef9198,UPD-01,University of the Philippines - Diliman,state,"UP Campus Diliman, Roxas Ave, Diliman, Quezon City, 1101 Metro Manila",https://upd.edu.ph/,210.00,121.0596018,14.6559107,2026-05-12 15:53:43.717128+00:00,2026-05-12 15:53:43.717128+00:00
e97ccf8f-f4bc-4489-a5b8-0a1d0ab8ba1c,UPM-02,University of the Philippines - Manila,state,"Corner of Taft Avenue and Pedro Gil Street, Ermita, Manila.",https://www.upm.edu.ph/,223.00,120.9856805,14.5788764,2026-05-12 15:53:43.717128+00:00,2026-05-12 15:53:43.717128+00:00
dfe12106-723a-4852-baf9-fc9fcc3e0c0c,UPM-02,UP Manila School of Health Sciences - Tarlac,state,"San Isidro, Tarlac City, Tarlac Province",shs.upm.edu.ph,78.00,120.5811035,15.4960994,2026-05-12 15:53:43.717128+00:00,2026-05-12 15:53:43.717128+00:00
6abe78e0-4333-4bbe-99c6-18c2da151963,UCU-01,Urdaneta City University,local,"1 San Vicente West, Urdaneta City",ucu.edu.ph,20.00,120.5605551,15.9807718,2026-05-12 15:53:43.717128+00:00,2026-05-12 15:53:43.717128+00:00
efe26969-ffdd-4cf3-8028-f26c99e3bb69,PMM-01,Pangasinan Merchant Marine Academy,private,"Perez Blvd.Branch Perez Blvd, Downtown District, Dagupan City, Pangasinan",https://pamma.edu.ph/,26.00,120.3416392,16.0425720,2026-05-15 15:25:01.097006+00:00,2026-05-15 15:25:30.626441+00:00
2b1be3c5-5e9e-4657-ae92-d9272203cc96,PMA-01,Philippine Military Academy,state,"9J69+9Q3 Ft Gen.Gregorio, del Pilar, Baguio, Benguet",https://www.pma.edu.ph/,55.00,120.6194033,16.3611556,2026-05-15 15:18:24.102013+00:00,2026-05-15 15:25:41.563093+00:00
789cb74e-d32c-41b7-b0bb-32787623c3db,MAA-01,Maritime Academy of Asia and the Pacific,state,"KamayaPt, Kamaya Point Rd, Mariveles, Bataan",http://www.maap.edu.ph/,222.00,120.5500763,14.4458555,2026-05-15 15:28:22.530331+00:00,2026-05-15 15:28:22.530331+00:00
88103014-4e8c-43a9-91bc-d5b4b2441a3c,UBA-01,University of Baguio,private,"CH8W+3X5, Gen. Luna Rd, Baguio, 2600 Benguet",https://www.ubaguio.edu/,52.00,120.5975194,16.4152721,2026-05-15 15:57:30.653760+00:00,2026-05-15 15:57:30.653760+00:00
11054f7d-0e09-4c19-82d6-b4625af49a7c,UCO-01,University of Cordilleras,private,"Gov. Pack Rd, Baguio, Benguet",http://www.uc-bcf.edu.ph/,52.00,120.5979092,16.4085220,2026-05-15 16:17:21.661104+00:00,2026-05-15 16:17:21.661104+00:00
