university_name,university_type,address,website,latitude,longitude,distance_band_from_pozorrubio,economic_constraint,mobility_constraint,college,degree,major
Pangasinan Merchant Marine Academy,Private University,"Perez Blvd.Branch Perez Blvd, Downtown District, Dagupan City, Pangasinan",https://pamma.edu.ph/,16.0425720,120.3416392,20-30,3,2,Maritime,Bachelor of Science in Marine Engineering,None
Pangasinan Merchant Marine Academy,Private University,"Perez Blvd.Branch Perez Blvd, Downtown District, Dagupan City, Pangasinan",https://pamma.edu.ph/,16.0425720,120.3416392,20-30,3,2,Maritime,Bachelor of Science in Marine Transportation,None
University of Baguio,Private University,"CH8W+3X5, Gen. Luna Rd, Baguio, 2600 Benguet",https://www.ubaguio.edu/,16.4152721,120.5975194,50-60,3,3,Medical Laboratory Science,Bachelor of Science in Medical Laboratory Science,None
University of Baguio,Private University,"CH8W+3X5, Gen. Luna Rd, Baguio, 2600 Benguet",https://www.ubaguio.edu/,16.4152721,120.5975194,50-60,3,3,Health Sciences,Bachelor of Science in Midwifery,None
University of Baguio,Private University,"CH8W+3X5, Gen. Luna Rd, Baguio, 2600 Benguet",https://www.ubaguio.edu/,16.4152721,120.5975194,50-60,3,3,STEM,BS in Environmental and Sanitary Engineering,None
University of Baguio,Private University,"CH8W+3X5, Gen. Luna Rd, Baguio, 2600 Benguet",https://www.ubaguio.edu/,16.4152721,120.5975194,50-60,3,3,Dentistry,Doctor of Dental Medicine,None
University of Cordilleras,Private University,"Gov. Pack Rd, Baguio, Benguet",http://www.uc-bcf.edu.ph/,16.4085220,120.5979092,50-60,3,3,Criminal Justice Education,Bachelor of Science in Criminology,None
University of Cordilleras,Private University,"Gov. Pack Rd, Baguio, Benguet",http://www.uc-bcf.edu.ph/,16.4085220,120.5979092,50-60,3,3,Business Administration,Bachelor of Science in Entrepreneurship,None
University of Cordilleras,Private University,"Gov. Pack Rd, Baguio, Benguet",http://www.uc-bcf.edu.ph/,16.4085220,120.5979092,50-60,3,3,STEM,Bachelor of Science in Information Systems,None
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Education and Liberal Arts,Bachelor of Arts in Political Science,
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Education and Liberal Arts,Bachelor of Elementary Education,
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Management and Accountancy,Bachelor of Science in Accountancy,
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Management and Accountancy,Bachelor of Science in Accountancy Technology,
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Engineering and Architecture,Bachelor of Science in Architecture,
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Management and Accountancy,Bachelor of Science in Business Administration,Financial Management
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Management and Accountancy,Bachelor of Science in Business Administration,Marketing Management
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Engineering and Architecture,Bachelor of Science in Civil Engineering,
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Engineering and Architecture,Bachelor of Science in Computer Engineering,
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Criminal Justice Education,Bachelor of Science in Criminology,
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Engineering and Architecture,Bachelor of Science in Electrical Engineering,
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Management and Accountancy,Bachelor of Science in Hospitality Management,
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Information Technology,Bachelor of Science in Information Technology,
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Management and Accountancy,Bachelor of Science in Management Accounting,
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Engineering and Architecture,Bachelor of Science in Mechanical Engineering,
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Allied Health Sciences,Bachelor of Science in Medical Laboratory Science,
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Allied Health Sciences,Bachelor of Science in Nursing,
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Allied Health Sciences,Bachelor of Science in Pharmacy,
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Allied Health Sciences,Bachelor of Science in Psychology,
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Management and Accountancy,Bachelor of Science in Tourism Management,
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Education and Liberal Arts,Bachelor of Secondary Education,English
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Education and Liberal Arts,Bachelor of Secondary Education,Math
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Education and Liberal Arts,Bachelor of Secondary Education,Science
University of Pangasinan - PHINMA,Private University,"Arellano Street, Dagupan City, Pangasinan",https://up.phinma.edu.ph,16.0472278,120.3429975,30-40,3,2,Education and Liberal Arts,Bachelor of Secondary Education,Social Studies
Philippine Military Academy,State University,"9J69+9Q3 Ft Gen.Gregorio, del Pilar, Baguio, Benguet",https://www.pma.edu.ph/,16.361156,120.619403,50-60,1,3,Military and Security Studies,BACHELOR OF SCIENCE IN MANAGEMENT MAJOR IN SECURITY STUDIES,
Maritime Academy of Asia and the Pacific,State University,"KamayaPt, Kamaya Point Rd, Mariveles, Bataan",http://www.maap.edu.ph/,14.445856,120.550076,>200,1,4,Maritime,Bachelor of Science in Marine Transportation,
